Ciudad Real;74641
Puertollano;48477
Tomelloso;36281
Alcázar de San Juan;30943
Valdepeñas;30224
Manzanares;18206
Daimiel;18176
La Solana;15640
Miguelturra;15225
Campo de Criptana;13763
Socuéllamos;12342
Bolaños de Calatrava;11882
Villarrubia de los Ojos;10026
Almagro;8983
Herencia;8431
Malagón;8108
Pedro Muñoz;7467
Argamasilla de Alba;6928
Almodóvar del Campo;6273
Membrilla;6050
Argamasilla de Calatrava;5924
Almadén;5537
Moral de Calatrava;5309
Villanueva de los Infantes;5064
Piedrabuena;4517
Santa Cruz de Mudela;4195
Calzada de Calatrava;3911
Porzuna;3633
Pozuelo de Calatrava;3382
Fuente el Fresno;3311
Carrión de Calatrava;3069
Torralba de Calatrava;3006
Villarta de San Juan;2863
Torrenueva;2788
Poblete;2465
Viso del Marqués;2378
Villanueva de la Fuente;2185
Castellar de Santiago;1966
Villahermosa;1908
Chillón;1857
Agudo;1720
Aldea del Rey;1698
Alcolea de Calatrava;1458
Abenójar;1438
Montiel;1364
Carrizosa;1251
Puebla de Don Rodrigo;1213
Villamanrique;1210
Albaladejo;1201
Corral de Calatrava;1153
San Carlos del Valle;1143
El Robledo;1111
Arenas de San Juan;1051
Torre de Juan Abad;1035
Fuencaliente;1028
Fernán Caballero;1027
Brazatortas;1020
Cózar;1017
Alhambra;1009
Retuerta del Bullaque;991
Puerto Lápice;947
Horcajo de los Montes;935
Los Cortijos;904
Almuradiel;820
Granátula de Calatrava;764
Guadalmez;763
Puebla del Príncipe;729
Llanos del Caudillo;722
Mestanza;711
Terrinches;711
Valenzuela de Calatrava;700
Picón;671
Arenales de San Gregorio;622
Villamayor de Calatrava;615
Alcoba;610
Saceruela;596
Labores, Las;580
Ruidera;558
Almedina;548
Santa Cruz de los Cáñamos;530
Hinojosas de Calatrava;529
Alamillo;519
Alcubillas;493
Cabezarrubias del Puerto;490
Arroba de los Montes;452
Almadenejos;440
Los Pozuelos de Calatrava;385
Ballesteros de Calatrava;384
Luciana;382
Solana del Pino;336
Anchuras;323
Cabezarados;322
Villanueva de San Carlos;308
Fontanarejo;265
Navas de Estena;246
Fuenllana;242
Navalpino;231
San Lorenzo de Calatrava;212
Valdemanco del Esteras;178
Caracuel de Calatrava;141
Cañada de Calatrava;103
Villar del Pozo;89
